Entity,Code,electoral,women,liberty
Afghanistan,AFG,0.082,0.035,0.038
Albania,ALB,0.484,0.892,0.873
Algeria,DZA,0.281,0.621,0.491
Angola,AGO,0.344,0.741,0.61
Argentina,ARG,0.823,0.876,0.878
Armenia,ARM,0.645,0.886,0.885
Australia,AUS,0.858,0.937,0.93
Austria,AUT,0.794,0.916,0.901
Azerbaijan,AZE,0.188,0.629,0.353
Bahrain,BHR,0.122,0.559,0.281
Bangladesh,BGD,0.274,0.684,0.472
Barbados,BRB,0.782,0.907,0.925
Belarus,BLR,0.175,0.681,0.228
Belgium,BEL,0.887,0.954,0.956
Benin,BEN,0.45,0.823,0.824
Bhutan,BTN,0.535,0.728,0.656
Bolivia,BOL,0.597,0.818,0.823
Bosnia,BIH,0.528,0.828,0.812
Botswana,BWA,0.577,0.721,0.835
Brazil,BRA,0.678,0.728,0.638
Bulgaria,BGR,0.688,0.924,0.902
Burkina Faso,BFA,0.295,0.511,0.775
Burundi,BDI,0.189,0.657,0.273
Cambodia,KHM,0.206,0.527,0.328
Cameroon,CMR,0.297,0.764,0.58
Canada,CAN,0.847,0.885,0.918
Cape Verde,CPV,0.75,0.832,0.92
Central African Republic,CAF,0.321,0.626,0.487
Chad,TCD,0.14,0.44,0.261
Chile,CHL,0.811,0.907,0.902
China,CHN,0.075,0.602,0.174
Colombia,COL,0.689,0.757,0.765
Comoros,COM,0.284,0.543,0.495
Congo,COG,0.234,0.388,0.274
Costa Rica,CRI,0.871,0.919,0.941
Cote d'Ivoire,CIV,0.437,0.734,0.725
Croatia,HRV,0.738,0.921,0.875
Cuba,CUB,0.178,0.677,0.248
Cyprus,CYP,0.777,0.826,0.89
Czechia,CZE,0.853,0.936,0.952
Democratic Republic of Congo,COD,0.337,0.572,0.524
Denmark,DNK,0.916,0.961,0.96
Djibouti,DJI,0.255,0.598,0.409
Dominican Republic,DOM,0.679,0.853,0.895
East Timor,TLS,0.695,0.78,0.857
Ecuador,ECU,0.657,0.865,0.899
Egypt,EGY,0.175,0.498,0.202
El Salvador,SLV,0.378,0.614,0.618
Equatorial Guinea,GNQ,0.172,0.452,0.212
Eritrea,ERI,0.073,0.188,0.076
Estonia,EST,0.893,0.935,0.959
Eswatini,SWZ,0.12,0.3,0.179
Ethiopia,ETH,0.319,0.758,0.472
Fiji,FJI,0.406,0.69,0.687
Finland,FIN,0.861,0.947,0.955
France,FRA,0.874,0.937,0.921
Gabon,GAB,0.369,0.783,0.816
Gambia,GMB,0.62,0.805,0.88
Georgia,GEO,0.647,0.895,0.883
Germany,DEU,0.857,0.954,0.953
Ghana,GHA,0.633,0.84,0.889
Greece,GRC,0.783,0.932,0.893
Guatemala,GTM,0.435,0.683,0.678
Guinea,GIN,0.191,0.375,0.345
Guinea-Bissau,GNB,0.371,0.612,0.72
Guyana,GUY,0.535,0.842,0.846
Haiti,HTI,0.248,0.326,0.632
Honduras,HND,0.556,0.789,0.817
Hong Kong,HKG,0.154,0.817,0.615
Hungary,HUN,0.445,0.861,0.838
Iceland,ISL,0.819,0.931,0.954
India,IND,0.399,0.678,0.569
Indonesia,IDN,0.574,0.726,0.768
Iran,IRN,0.182,0.394,0.22
Iraq,IRQ,0.362,0.466,0.448
Ireland,IRL,0.889,0.924,0.96
Israel,ISR,0.723,0.895,0.854
Italy,ITA,0.844,0.939,0.928
Jamaica,JAM,0.797,0.952,0.905
Japan,JPN,0.833,0.794,0.93
Jordan,JOR,0.259,0.609,0.612
Kazakhstan,KAZ,0.277,0.794,0.519
Kenya,KEN,0.522,0.804,0.737
Kosovo,OWID_KOS,0.618,0.76,0.804
Kuwait,KWT,0.317,0.378,0.564
Kyrgyzstan,KGZ,0.382,0.708,0.649
Laos,LAO,0.134,0.513,0.146
Latvia,LVA,0.821,0.953,0.945
Lebanon,LBN,0.426,0.611,0.664
Lesotho,LSO,0.641,0.825,0.825
Liberia,LBR,0.634,0.846,0.86
Libya,LBY,0.213,0.422,0.357
Lithuania,LTU,0.797,0.935,0.92
Luxembourg,LUX,0.881,0.915,0.952
Madagascar,MDG,0.495,0.755,0.741
Malawi,MWI,0.642,0.84,0.858
Malaysia,MYS,0.438,0.796,0.73
Maldives,MDV,0.583,0.553,0.703
Mali,MLI,0.235,0.739,0.745
Malta,MLT,0.782,0.907,0.895
Mauritania,MRT,0.395,0.612,0.602
Mauritius,MUS,0.521,0.81,0.737
Mexico,MEX,0.598,0.773,0.682
Moldova,MDA,0.752,0.92,0.901
Mongolia,MNG,0.566,0.814,0.838
Montenegro,MNE,0.501,0.871,0.882
Morocco,MAR,0.264,0.766,0.629
Mozambique,MOZ,0.362,0.752,0.615
Myanmar,MMR,0.093,0.438,0.113
Namibia,NAM,0.634,0.834,0.862
Nepal,NPL,0.646,0.768,0.755
Netherlands,NLD,0.852,0.887,0.924
New Zealand,NZL,0.889,0.949,0.963
Nicaragua,NIC,0.177,0.614,0.194
Niger,NER,0.511,0.77,0.812
Nigeria,NGA,0.49,0.694,0.642
North Korea,PRK,0.087,0.302,0.024
North Macedonia,MKD,0.551,0.821,0.795
Norway,NOR,0.899,0.901,0.941
Oman,OMN,0.17,0.377,0.451
Pakistan,PAK,0.388,0.581,0.512
Panama,PAN,0.729,0.823,0.889
Papua New Guinea,PNG,0.458,0.491,0.819
Paraguay,PRY,0.581,0.706,0.801
Peru,PER,0.744,0.809,0.854
Philippines,PHL,0.431,0.815,0.542
Poland,POL,0.574,0.828,0.819
Portugal,PRT,0.846,0.927,0.917
Qatar,QAT,0.088,0.316,0.357
Romania,ROU,0.689,0.872,0.872
Russia,RUS,0.209,0.665,0.309
Rwanda,RWA,0.228,0.753,0.236
Sao Tome and Principe,STP,0.684,0.87,0.884
Saudi Arabia,SAU,0.016,0.293,0.144
Senegal,SEN,0.69,0.865,0.876
Serbia,SRB,0.361,0.893,0.786
Seychelles,SYC,0.761,0.912,0.898
Sierra Leone,SLE,0.559,0.79,0.805
Singapore,SGP,0.425,0.802,0.705
Slovakia,SVK,0.851,0.903,0.927
Slovenia,SVN,0.799,0.949,0.923
Solomon Islands,SLB,0.618,0.623,0.85
Somalia,SOM,0.162,0.384,0.303
Somaliland,OWID_SML,0.421,0.46,0.684
South Africa,ZAF,0.692,0.84,0.818
South Korea,KOR,0.812,0.882,0.92
South Sudan,SSD,0.129,0.402,0.168
Spain,ESP,0.873,0.954,0.955
Sri Lanka,LKA,0.575,0.688,0.686
Sudan,SDN,0.169,0.311,0.307
Suriname,SUR,0.77,0.843,0.892
Sweden,SWE,0.899,0.939,0.966
Switzerland,CHE,0.898,0.94,0.958
Syria,SYR,0.138,0.29,0.089
Taiwan,TWN,0.831,0.916,0.933
Tajikistan,TJK,0.175,0.421,0.204
Tanzania,TZA,0.398,0.842,0.785
Thailand,THA,0.206,0.669,0.386
Togo,TGO,0.426,0.784,0.717
Trinidad and Tobago,TTO,0.784,0.895,0.903
Tunisia,TUN,0.307,0.812,0.754
Turkey,TUR,0.276,0.552,0.327
Turkmenistan,TKM,0.149,0.429,0.111
Uganda,UGA,0.285,0.696,0.394
Ukraine,UKR,0.406,0.879,0.614
UAE,ARE,0.101,0.587,0.355
UK,GBR,0.843,0.927,0.891
USA,USA,0.819,0.906,0.928
Uruguay,URY,0.804,0.879,0.92
Uzbekistan,UZB,0.221,0.645,0.379
Vanuatu,VUT,0.771,0.701,0.873
Venezuela,VEN,0.214,0.765,0.374
Vietnam,VNM,0.157,0.723,0.388
Yemen,YEM,0.123,0.17,0.176
Zambia,ZMB,0.518,0.807,0.825
Zanzibar,OWID_ZAN,0.284,0.7,0.672
Zimbabwe,ZWE,0.285,0.784,0.388
